# ----------------------------------------
# melissani-cave.com - GA4
# Adsense per page-Free-form 1
# 20240708-20250708
# ----------------------------------------

Landing page + query string,Total ad revenue,Views
,334.032986,73222,Grand total
/fees,127.46598,24495
/opening-hours,97.902557,23739
/,97.118761,21935
/how-to-get-to,4.288411,1007
/what-to-wear,2.334595,421
,1.582791,0
/map,1.002066,194
/about,0.371041,229
/history,0.342354,208
/beach,0.298984,126
/sightseeing,0.292682,136
/contact,0.231291,161
(not set),0.143238,0
/foods,0.12416,104
/fees?hl=en-GB&gl=GB&pcl=lpc,0.117311,17
/fees?hl=el-GR&gl=GR&pcl=lpc,0.106277,21
/how-to-get-to?_x_tr_sl=en&_x_tr_tl=fr&_x_tr_hl=fr&_x_tr_pto=rq,0.097664,7
/how-to-get-to?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,0.067952,6
/opening-hours?fbclid=IwY2xjawLH4ExleHRuA2FlbQIxMABicmlkETAxUm9pNzM2anVGT3M2WHl0AR7PYg7pLlgCM8ASskKvc7wNyfDBA2--7ycxgrq0PNCx39cKT54LaAmecJwEEw_aem_42oT-yfPLRae1ta50tWcsA,0.039668,5
/staying-here,0.021746,33
/how-to-get-to?_x_tr_sl=en&_x_tr_tl=nl&_x_tr_hl=nl&_x_tr_pto=rq,0.016132,1
/fees?hl=en-AU&gl=SG&pcl=lpc,0.014131,2
/opening-hours?fbclid=IwY2xjawKdCh1leHRuA2FlbQIxMQABHtroce3PoY1BwwYigMF2olcq1tyUTcM8TCX-TjuAcIqBdWiAHeGLEu6Fa8wp_aem_CwfFyylHWA-xbQDnIPReSw,0.013362,1
/what-to-wear?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,0.012061,4
/what-to-wear?_x_tr_sl=en&_x_tr_tl=fr&_x_tr_hl=fr&_x_tr_pto=rq,0.010246,2
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR75Lel1gNyZLfh2vj4wBwPx0ivdYxtxxFg6yegsq8hXpRXV7NwWxibNAmrVGA_aem_1G6X3SFwtsv5iNR070qXlw,0.006545,1
/how-to-get-to?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=rq,0.002702,1
/nightlife,0.002391,31
/fees?hl=de-DE&gl=DE&pcl=lpc,0.001968,4
/what-to-wear?_x_tr_sl=en&_x_tr_tl=nl&_x_tr_hl=nl&_x_tr_pto=sge,0.001414,1
/fees?hl=en&gl=PT&pcl=lpc,0.000684,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR6_ZkpBPXUSWIMoI24X5W8egP7SqxLQ9goaw_t-oZeKL6tRkVRTexXzn_G9xQ_aem_IkDay_MgnawQyO5la7vMog,0.000563,1
/fees?hl=fr-FR&gl=FR&pcl=lpc,0.000521,3
/fees?hl=en-GB&gl=RO&pcl=lpc,0.000321,1
/fees?hl=bg-BG&gl=BG&pcl=lpc,0.00019,4
/fees?hl=nl-NL&gl=NL&pcl=lpc,0.000113,1
/https://www.melissani-cave.com/,0.000103,1
/fees?hl=de-DE&gl=FR&pcl=lpc,0.00001,7
/?_x_tr_sl=en&_x_tr_tl=lt&_x_tr_hl=lt&_x_tr_pto=sc,0,1
/?fbclid=IwY2xjawEghYdleHRuA2FlbQIxMQABHe1VcadNmU8hwDjGzHwCAzpO5HuAN1WitvQG5rL6vABSurdbxnO_4aJAEw_aem_hTMi-gcS8XhdC4D0ms96Ow,0,1
/?fbclid=IwY2xjawEkFtRleHRuA2FlbQIxMQABHT6N8kX0bumsfTs1GXBFS0-8kVbRb0aLIsoZZ8hGwtG-5hOuMhpv4I4jbw_aem_u4QZrR89PyvEalzOmH8VUg,0,1
/?fbclid=IwY2xjawEumjlleHRuA2FlbQIxMQABHXNbq0LYTpriMDXbQY9gEE830LSI_KZ3BNoEBK8QUqdKrC-0RbrIy9vzDQ_aem_NMAGKsB8AMXg64CyrbaHuQ,0,1
/?fbclid=IwY2xjawIFjc9leHRuA2FlbQIxMQABHXkjvx6xQm8QVq9HosPBXLXSKnTdagF4tphOnJgIUgMEPnpL9eRy-XMYxw_aem_Zb70xL932ytCvy3szLvlCA,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR0AX6Z-0OMuO4fzgV4M_l84mAgWe8Wr44AX_iq2wc_pgAAqCsA_LiF2-S0_aem_B-v7dWbQbM3EgJYwMEqClA,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR0DezwanCCv4Q43HEyNTGFBzqfnCl0oC3CiJVx3iy4YY0a3VhYIQGcts1Q_aem_p6QZFpZESNbdngJHgWt4mw,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR0PFTCKTbH-yWz7NdhMlPIPyY_IBnI8qXql2r7FFFkmulwMlutSWpgLZKI_aem_B30E0q-xVBnXdp4xMLaNYA,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR0nLwr7h62sZiFgOU0nKG1oRcbfUl8MH0pelaJ9aRHTDlTv1tUerBCdWjQ_aem_e9-M9l_BFgV52zcSPIa7rg,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR14Llpu3JT3fibz_XeGXuc-UmDm8r1pwZpY1PZTE_w4Mg-fxDkBcRRpRew_aem_QDsA-xLOrlyQNkO2ST3ipA,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR2hcpphlZTp91JsS5BV7Ftz_xUwIXSnLC-YFs4th2KM-nVoaJdtRWlgEWU_aem_U4u18tHmX59a8sKZv5xHQw,0,1
/?fbclid=IwZXh0bgNhZW0CMTEAAR3P04lChpKC8h5Zvapjr7w4bFHZQW3FAZr_FzxMqcrk4Ec-eAXe5bu7KSI_aem_8yzi6Wv1NiwggA2OoeqMGQ,0,1
/copyright,0,6
/credits,0,1
/fees?fbclid=IwY2xjawEr6-BleHRuA2FlbQIxMQABHbPh022BU9ZsLtEAFAGZVbdO1AY_ynXw78ul-svYGEAizFNR3I35BVlUiw_aem_XyO0EA_4IUoKUT8hiVmmYw,0,1
/fees?fbclid=IwZXh0bgNhZW0CMTEAAR2SfJdjMo-Qg2hPYlg8pwDwyTdVWAmkQ3A8E485Q9mcNNsNcDrgsPVKMM0_aem_CMlRvWdsV9wwHIhoYrQUIA,0,1
/fees?fbclid=IwZXh0bgNhZW0CMTEAAR5Oxxba5mlJ36UUYuXNOznEEuGzvrhguYamLqyVJrLgodMm2VvaInHEJiN1hQ_aem_uUcYzQrHq81RykHCnyTVLA,0,3
/fees?fbclid=IwZXh0bgNhZW0CMTEAAR6k9fVzhv3AceCpyAw7kTz3XYvgHjYlaqsS0BxZ5Qj5Avil-Tfbl2nCgGBNPw_aem_1zLw0jU28IFw3Fq3WZK1Tg,0,2
/fees?hl=en-AU&gl=AU&pcl=lpc,0,1
/fees?hl=en-GB&gl=MK&pcl=lpc,0,1
/fees?hl=en-NL&gl=NL&pcl=lpc,0,2
/fees?hl=en-US&gl=GR&pcl=lpc,0,1
/fees?hl=en-US&gl=RS&pcl=lpc,0,1
/fees?hl=en-US&gl=US&pcl=lpc,0,1
/fees?hl=en-ZA&gl=NL&pcl=lpc,0,3
/fees?hl=pl-PL&gl=GB&pcl=lpc,0,9
/fees?hl=pl-PL&gl=PL&pcl=lpc,0,8
/fees?hl=sl-SI&gl=SI&pcl=lpc,0,1
/how-to-get-to?_x_tr_sl=en&_x_tr_tl=sv&_x_tr_hl=sv&_x_tr_pto=rq,0,7
/how-to-get-to?fbclid=IwY2xjawIlccNleHRuA2FlbQIxMAABHRk3SpvHpAmpOBbU5tPUjjvuy867ADEYivScH6WosKtLBnOcoxkISwyKxA_aem_parynMyy5fZ-1ep6TXz6CA,0,7
/opening-hours?_x_tr_sl=auto&_x_tr_tl=pl&_x_tr_hl=pl-PL,0,2
/opening-hours?_x_tr_sl=en&_x_tr_tl=cs&_x_tr_hl=cs&_x_tr_pto=sc,0,4
/opening-hours?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,0,1
/opening-hours?_x_tr_sl=en&_x_tr_tl=fr&_x_tr_hl=fr&_x_tr_pto=rq,0,3
/opening-hours?_x_tr_sl=en&_x_tr_tl=it&_x_tr_hl=it&_x_tr_pto=sc,0,5
/opening-hours?_x_tr_sl=en&_x_tr_tl=nl&_x_tr_hl=nl&_x_tr_pto=rq,0,3
/opening-hours?_x_tr_sl=en&_x_tr_tl=pl&_x_tr_hl=pl&_x_tr_pto=rq,0,9
/opening-hours?_x_tr_sl=en&_x_tr_tl=sk&_x_tr_hl=sk&_x_tr_pto=sc,0,1
/opening-hours?fbclid=IwY2xjawEZ1mxleHRuA2FlbQIxMQABHRiY517qVXEpQ9deuSOMHuTLq00uo-xhdy2EGP9UcgZMrK8MAJYBLPIFCA_aem_g2tVri0vEDWuSKlcW7sp3A,0,2
/opening-hours?fbclid=IwY2xjawEaGqZleHRuA2FlbQIxMAABHWfAAUM_3InsPoF5xTaobVYOM9Ae15I2800CcwCEcILWQj6MAHd8NtttEA_aem_0ska-RHjuOhRaBZjMq2MOQ,0,1
/opening-hours?fbclid=IwY2xjawEbLbpleHRuA2FlbQIxMAABHXZX-LBdpgxUPyzQViqUZFufVwDe-np-bJq176ekEgO3zd_qvszQJTSEfg_aem_vt399LnrikRBSkoOXHW-tQ,0,1
/opening-hours?fbclid=IwY2xjawEbaYdleHRuA2FlbQIxMAABHVvaD3HPUGwTgrtgpN_fa5WfTNJgJDPFuYiYyduUdhRrWVW-Wjqs1uWmBw_aem_Jle37UKPvAxmlx4PJSd9gw,0,1
/opening-hours?fbclid=IwY2xjawEgW2xleHRuA2FlbQIxMAABHUfrBgjZZ5Unnw1x4Qhqo82d_dDbTegZocLPHkoNg6SRowk3E6-M1ghKkQ_aem_i5JdOUFSpPUNYgLwZjvA-Q,0,5
/opening-hours?fbclid=IwY2xjawEokYhleHRuA2FlbQIxMQABHRuaE2aS_9ogNL05YiBd2bG3vB37ajQ99rAAIuAUHNJ2f_wq6Qr5Z-qdGw_aem_XOklXqKZ0s7T69HC_E650w,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTAAAR2owfUKsrHLYVwh5EQFg1474RIORNypN02wWN1XEW36e5RkVz43egN2428_aem_FIheDenDglGrtJDuy93gsg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR08CyrCdzZbP-81BoMAfE270pIpNfLmd35xA5kgT1sFPko8ReX74m8XjcQ_aem_KyyErTJBYXKRczfVZIev6A,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0FN08wA0srLM7yQIKFdUkfCPJqKESG_fYFpAoTtykHn2P6CGuLpc0MNIg_aem_I5ucHe_b-ddZF-EF673EDw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0G2ckkWydtCzqS-rifQ3nHGHHBclaVyGie9OA_C7rGFpBg5fxrpJNlII8_aem_ad29gUujoRwfIQSja7nn-g,0,2
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0J_yEz2S-CTYbsJrYKPIwV7W3W27H2haTXZnYGz2vSvg4jnaOLYhV7-vk_aem_jhb1vhGMBUvbT801i-3TAg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0LtXjyKo0H211gTzvKnMem5YP2Q83duFRmVx4T5Kx0kGguJscepXJfYoY_aem_NolgMCLgMc8W9Qo-fapAog,0,1
