Date,Clicks,Impressions,CTR,Position
2025-07-02,188,1805,10.42%,5.35
2025-07-01,183,1785,10.25%,5.65
2025-06-30,145,1645,8.81%,6.05
2025-06-29,159,1863,8.53%,5.57
2025-06-28,156,1588,9.82%,5.52
2025-06-27,127,1483,8.56%,5.7
2025-06-26,166,1748,9.5%,6.02
2025-06-25,151,1650,9.15%,5.69
2025-06-24,155,1784,8.69%,5.76
2025-06-23,136,1552,8.76%,5.59
2025-06-22,140,1608,8.71%,5.94
2025-06-21,131,1349,9.71%,5.91
2025-06-20,103,1520,6.78%,5.91
2025-06-19,109,1398,7.8%,5.64
2025-06-18,132,1455,9.07%,5.71
2025-06-17,125,1517,8.24%,5.73
2025-06-16,134,1553,8.63%,5.86
2025-06-15,135,1447,9.33%,5.7
2025-06-14,114,1292,8.82%,5.59
2025-06-13,117,1280,9.14%,5.61
2025-06-12,80,1216,6.58%,6.22
2025-06-11,135,1337,10.1%,5.93
2025-06-10,102,1407,7.25%,6.58
2025-06-09,150,1426,10.52%,5.91
2025-06-08,150,1699,8.83%,6.08
2025-06-07,138,1366,10.1%,6.13
2025-06-06,115,1374,8.37%,6.19
2025-06-05,109,1351,8.07%,6.04
2025-06-04,115,1268,9.07%,6.2
2025-06-03,106,1253,8.46%,5.96
2025-06-02,109,1311,8.31%,5.94
2025-06-01,116,1267,9.16%,6.39
2025-05-31,106,1159,9.15%,6.03
2025-05-30,97,1128,8.6%,6.61
2025-05-29,111,1255,8.84%,6.54
2025-05-28,104,1160,8.97%,5.97
2025-05-27,101,1138,8.88%,5.89
2025-05-26,108,1247,8.66%,6.67
2025-05-25,125,1216,10.28%,6.03
2025-05-24,84,939,8.95%,5.57
2025-05-23,67,915,7.32%,6.13
2025-05-22,61,940,6.49%,6.45
2025-05-21,80,986,8.11%,6.08
2025-05-20,78,920,8.48%,6.32
2025-05-19,99,1149,8.62%,5.89
2025-05-18,99,1078,9.18%,6.14
2025-05-17,82,869,9.44%,6.74
2025-05-16,71,827,8.59%,6.5
2025-05-15,69,963,7.17%,6.93
2025-05-14,74,938,7.89%,6.87
2025-05-13,96,1041,9.22%,6.27
2025-05-12,106,1025,10.34%,6.27
2025-05-11,93,1141,8.15%,6.25
2025-05-10,73,916,7.97%,6.72
2025-05-09,71,810,8.77%,6.2
2025-05-08,93,915,10.16%,6.24
