Top pages,Clicks,Impressions,CTR,Position
https://www.melissani-cave.com/opening-hours,17215,247272,6.96%,8.27
https://www.melissani-cave.com/,7600,255475,2.97%,8.27
https://www.melissani-cave.com/fees,5697,229421,2.48%,7.95
https://www.melissani-cave.com/how-to-get-to,558,128736,0.43%,7.26
https://www.melissani-cave.com/what-to-wear,211,13457,1.57%,6.87
https://www.melissani-cave.com/history,118,114337,0.1%,7.97
https://www.melissani-cave.com/map,88,3617,2.43%,8.41
https://www.melissani-cave.com/what-to-wear.html,45,6239,0.72%,4.52
https://www.melissani-cave.com/weather,38,66572,0.06%,8.4
https://www.melissani-cave.com/how-to-get-to.html,35,4486,0.78%,7.79
https://www.melissani-cave.com/foods,24,105235,0.02%,8.05
https://www.melissani-cave.com/opening-hours.html,24,4098,0.59%,1
https://www.melissani-cave.com/fees.html,17,4456,0.38%,8.42
https://www.melissani-cave.com/contact,17,255,6.67%,5.8
https://www.melissani-cave.com/map.html,15,575,2.61%,7.72
https://www.melissani-cave.com/about,9,107594,0.01%,7.97
https://www.melissani-cave.com/nightlife,6,563,1.07%,11.32
https://www.melissani-cave.com/sightseeing,6,519,1.16%,19.55
https://www.melissani-cave.com/beach,4,52298,0.01%,7.7
https://www.melissani-cave.com/foods.html,4,2183,0.18%,8.53
https://www.melissani-cave.com/weather.html,4,255,1.57%,9.79
https://www.melissani-cave.com/nightlife.html,4,84,4.76%,13.42
https://www.melissani-cave.com/staying-here,2,883,0.23%,31.64
https://www.melissani-cave.com/sightseeing.html,2,157,1.27%,18.2
https://www.melissani-cave.com/about.html,1,4548,0.02%,7.17
https://www.melissani-cave.com/beach.html,0,8425,0%,7.03
https://www.melissani-cave.com/staying-here.html,0,661,0%,22.19
https://www.melissani-cave.com/privacy-policy,0,29,0%,14.17
https://www.melissani-cave.com/credits,0,27,0%,11.63
https://www.melissani-cave.com/copyright,0,9,0%,9.33
https://www.melissani-cave.com/credits.html,0,8,0%,9.5
https://www.melissani-cave.com/privacy-policy.html,0,1,0%,2
